date,home_team,away_team,team_goals,player_team,own_goal,minute,player,assist1,assist2,OTgoal,ETgoal
"10/3/99","FC Dallas","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",26,"Carlos Hermosillo","Clint Mathis","Simon Elliott",0,0
"7/28/99","Colorado Rapids","LA Galaxy","Colorado Rapids","Colorado Rapids","FALSE",34,"Jorge Dely Valdes","Ross Paule","David Vaudreuil",0,0
"6/19/99","D.C. United","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",90,"Mauricio Cienfuegos","","",0,0
"5/8/99","Sporting Kansas City","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",37,"Danny Pena","Cobi Jones","",0,0
"8/7/99","San Jose Earthquakes","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",82,"Seth George","Mauricio Cienfuegos","Simon Elliott",0,0
"5/8/99","Sporting Kansas City","LA Galaxy","Sporting Kansas City","Sporting Kansas City","FALSE",10,"Alexi Lalas","Preki","",0,0
"6/27/99","Tampa Bay Mutiny","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",70,"Mauricio Cienfuegos","Roy Myers","Danny Pena",0,0
"6/19/99","D.C. United","LA Galaxy","D.C. United","D.C. United","FALSE",83,"Brian Kamler","Ben Olsen","",0,0
"5/29/99","Columbus Crew","LA Galaxy","Columbus Crew","Columbus Crew","FALSE",88,"Jeff Cunningham","Brian Maisonneuve","Matt Kmosko",0,0
"6/27/99","Tampa Bay Mutiny","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",76,"Clint Mathis","Mauricio Cienfuegos","Carlos Hermosillo",0,0
"8/28/99","FC Dallas","LA Galaxy","FC Dallas","FC Dallas","FALSE",53,"Ariel Graziani","Jason Kreis","Temoc Suarez",0,0
"6/27/99","Tampa Bay Mutiny","LA Galaxy","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",49,"Musa Shannon","Carlos Valderrama","Steve Ralston",0,0
"10/9/99","Sporting Kansas City","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",25,"Ezra Hendrickson","Roy Myers","",0,0
"10/3/99","FC Dallas","LA Galaxy","FC Dallas","FC Dallas","FALSE",77,"Richard Farrer","Jason Kreis","",0,0
"7/11/99","New England Revolution","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",40,"Clint Mathis","Mauricio Cienfuegos","",0,0
"6/27/99","Tampa Bay Mutiny","LA Galaxy","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",86,"Steve Ralston","","",0,0
"5/13/00","FC Dallas","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",55,"Paul Caligiuri","","",0,0
"8/5/00","Sporting Kansas City","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",74,"Paul Caligiuri","Mauricio Cienfuegos","Luis Herníçndez",0,0
"8/5/00","Sporting Kansas City","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",21,"Sasha Victorine","Dan Califf","Simon Elliott",0,0
"7/8/00","Miami Fusion","LA Galaxy","Miami Fusion","Miami Fusion","FALSE",66,"Andy Williams","Jim Rooney","Roy Lassiter",0,0
"7/8/00","Miami Fusion","LA Galaxy","Miami Fusion","Miami Fusion","FALSE",71,"Jay Heaps","Roy Lassiter","Diego Serna",0,0
"7/22/00","Tampa Bay Mutiny","LA Galaxy","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",87,"Mamadou Diallo","Carlos Valderrama","Kevin Anderson",0,0
"5/24/00","New England Revolution","LA Galaxy","New England Revolution","New England Revolution","FALSE",70,"Ted Chronopoulos","Maurí_cio Ramos","",0,0
"9/8/00","Colorado Rapids","LA Galaxy","Colorado Rapids","Colorado Rapids","FALSE",97,"Paul Bravo","Jason Bent","Jorge Dely Valdes",1,0
"4/8/00","Columbus Crew","LA Galaxy","LA Galaxy","LA Galaxy","FALSE",87,"Clint Mathis","Paul Caligiuri","Zak Ibsen",0,0
