date,home_team,away_team,team_goals,player_team,own_goal,minute,player,assist1,assist2,OTgoal,ETgoal
"5/16/98","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",21,"Jerzy Podbrozny","Peter Nowak","",0,0
"4/3/99","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",2,"Ante Razov","Diego Gutií©rrez","Peter Nowak",0,0
"8/30/03","New England Revolution","Chicago Fire","New England Revolution","New England Revolution","FALSE",66,"Chris Brown","","",0,0
"5/3/08","New England Revolution","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",50,"John Thorrington","Chris Rolfe","Chad Barrett",0,0
"8/23/09","Chicago Fire","Colorado Rapids","Colorado Rapids","Colorado Rapids","FALSE",58,"Omar Cummings","Jamie Smith","",0,0
"10/3/99","Miami Fusion","Columbus Crew","Miami Fusion","Miami Fusion","FALSE",90,"Edwin Gorter","","",0,0
"6/2/01","FC Dallas","Miami Fusion","Miami Fusion","Miami Fusion","FALSE",34,"Alex Pineda Chacon","Preki","Diego Serna",0,0
"4/3/04","LA Galaxy","New England Revolution","New England Revolution","New England Revolution","FALSE",48,"Jay Heaps","","",0,0
"8/23/97","FC Dallas","New York Red Bulls","New York Red Bulls","FC Dallas","TRUE",60,"Joey Martinez","","",0,0
"6/23/13","Philadelphia Union","New York Red Bulls","Philadelphia Union","Philadelphia Union","FALSE",7,"Conor Casey","Sheanon Williams","",0,0
"8/16/06","Columbus Crew","Real Salt Lake","Columbus Crew","Columbus Crew","FALSE",23,"Sebastian Rozental","","",0,0
"6/21/97","Tampa Bay Mutiny","San Jose Earthquakes","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",8,"Carlos Valderrama","Adam Frye","Steve Ralston",0,0
"4/10/10","Real Salt Lake","Seattle Sounders","Seattle Sounders","Seattle Sounders","FALSE",11,"Steve Zakuani","James Riley","",0,0
"5/9/12","FC Dallas","Seattle Sounders","Seattle Sounders","Seattle Sounders","FALSE",68,"Fredy Montero","Cordell Cato","",0,0
"6/24/98","Chicago Fire","Sporting Kansas City","Chicago Fire","Chicago Fire","FALSE",36,"C.J. Brown","Peter Nowak","",0,0
"8/3/97","New York Red Bulls","Tampa Bay Mutiny","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",9,"Roy Lassiter","Gilmar","",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",10,"Roman Kosecki","Zach Thornton","Peter Nowak",0,0
"7/29/98","San Jose Earthquakes","Chicago Fire","San Jose Earthquakes","San Jose Earthquakes","FALSE",70,"Jeff Baicher","Shawn Medved","Eddie Lewis",0,0
"3/21/98","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",76,"Roman Kosecki","Ante Razov","",0,0
"7/9/98","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",8,"Stern John","","",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",80,"Paul Bravo","Waldir Síçenz","Adriíçn Paz",0,0
"7/18/98","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",78,"Jaime Moreno","","",0,0
"6/14/98","New England Revolution","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",60,"Ritchie Kotschau","Chris Armas","Jesse Marsch",0,0
"7/25/98","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",25,"Miles Joseph","","",0,0
"5/30/98","LA Galaxy","Chicago Fire","LA Galaxy","LA Galaxy","FALSE",3,"Mauricio Cienfuegos","","",0,0
"7/18/98","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",69,"Roy Lassiter","Brian Kamler","Ben Olsen",0,0
"6/14/98","New England Revolution","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",85,"Jerzy Podbrozny","Ante Razov","Peter Nowak",0,0
"5/30/98","LA Galaxy","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",49,"Ante Razov","Lubo?ç Kubí_k","Frank Klopas",0,0
"8/29/98","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",3,"Mark Chung","Uche Okafor","Paul Rideout",0,0
"7/18/98","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",90,"Roy Lassiter","Marco Etcheverry","",0,0
"9/27/98","LA Galaxy","Chicago Fire","LA Galaxy","LA Galaxy","FALSE",87,"Cobi Jones","Carlos Hermosillo","Ezra Hendrickson",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",48,"Waldir","Chris Henderson","Paul Bravo",0,0
"7/18/98","D.C. United","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",38,"Jesse Marsch","Frank Klopas","Francis Okaroh",0,0
"7/25/98","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",45,"Brian Kelly","Miles Joseph","",0,0
"7/25/98","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",6,"Eduardo Hurtado","Giovanni Savarese","Marcelo Vega",0,0
"6/14/98","New England Revolution","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",25,"Jerzy Podbrozny","Jesse Marsch","",0,0
"7/9/98","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",68,"Brian McBride","Andrew Gregor","",0,0
"4/8/98","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",76,"Pete Marino","Preki","Refik Sabanadzovic",0,0
"8/29/98","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",14,"Mo Johnston","Paul Rideout","Digital Takawira",0,0
"8/29/98","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",90,"Jerzy Podbrozny","Lubo?ç Kubí_k","Josh Wolff",0,0
"8/21/98","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",64,"Lubos Kubik","","",0,0
"6/14/98","New England Revolution","Chicago Fire","New England Revolution","New England Revolution","FALSE",39,"Raul Diaz Arce","","",0,0
"8/21/98","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",67,"Chris Armas","Diego Gutií©rrez","Roman Kosecki",0,0
"7/9/98","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",40,"Rob Smith","Ansil Elcock","Jason Farrell",0,0
"7/25/98","New York Red Bulls","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",20,"Lubos Kubik","","",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",87,"Jesse Marsch","Lubo?ç Kubí_k","",0,0
"7/18/98","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",53,"Roy Lassiter","","",0,0
"9/10/98","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",60,"Josh Wolff","Ante Razov","Chris Armas",0,0
"8/29/98","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",53,"Ante Razov","Chris Armas","Frank Klopas",0,0
"5/16/98","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",79,"Peter Nowak","Jerzy Podbro?_ny","",0,0
"7/25/98","New York Red Bulls","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",86,"Roman Kosecki","Chris Armas","Ante Razov",0,0
"3/21/98","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",87,"Ritchie Kotschau","","",0,0
"7/4/98","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",37,"Lubos Kubik","Chris Armas","Peter Nowak",0,0
"9/10/98","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",7,"Jason Kreis","","",0,0
"9/10/98","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",90,"Jorge Rodriguez","Leonel í?lvarez","íñscar Pareja",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",35,"Waldir","Chris Henderson","Paul Bravo",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",43,"Frank Klopas","Peter Nowak","Andrew Lewis",0,0
"4/11/98","San Jose Earthquakes","Chicago Fire","San Jose Earthquakes","San Jose Earthquakes","FALSE",37,"Ronald Cerritos","Martin Vasquez","Jeff Baicher",0,0
"7/29/98","San Jose Earthquakes","Chicago Fire","San Jose Earthquakes","San Jose Earthquakes","FALSE",77,"Eric Wynalda","Eddie Lewis","",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",26,"Ross Paule","","",0,0
"4/25/98","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",39,"Frank Klopas","Jorge Salcedo","Roman Kosecki",0,0
"7/29/98","San Jose Earthquakes","Chicago Fire","San Jose Earthquakes","San Jose Earthquakes","FALSE",32,"Braeden Cloutier","Richard Gough","Jeff Baicher",0,0
"5/16/98","Tampa Bay Mutiny","Chicago Fire","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",30,"Gilmar","Guillermo Jara","Chris Houser",0,0
"9/10/98","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",83,"Dante Washington","Jason Kreis","",0,0
"9/10/98","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",49,"Ante Razov","Francis Okaroh","Chris Armas",0,0
"10/10/99","Columbus Crew","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",66,"Ante Razov","","",0,0
"6/5/99","New England Revolution","Chicago Fire","New England Revolution","New England Revolution","FALSE",17,"Joe-Max Moore","Ivan McKinley","",0,0
"4/3/99","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",59,"Peter Nowak","Ante Razov","Lubo?ç Kubí_k",0,0
"8/22/99","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",39,"Ariel Graziani","Mark Santel","Brandon Pollard",0,0
"5/29/99","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",39,"Jeff Agoos","Marco Etcheverry","",0,0
"3/20/99","San Jose Earthquakes","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",68,"Jerzy Podbrozny","Ante Razov","",0,0
"3/20/99","San Jose Earthquakes","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",58,"Ante Razov","Chris Armas","Josh Wolff",0,0
"4/3/99","Miami Fusion","Chicago Fire","Miami Fusion","Miami Fusion","FALSE",69,"Carlos Valderrama","Roberto Gaí?cho","",0,0
"6/26/99","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",84,"Jorge Dely Valdes","Ross Paule","Jason Bent",0,0
"6/5/99","New England Revolution","Chicago Fire","New England Revolution","New England Revolution","FALSE",76,"Ivan McKinley","John Harkes","",0,0
"8/22/99","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",53,"Dema Kovalenko","Peter Nowak","",0,0
"9/26/99","San Jose Earthquakes","Chicago Fire","San Jose Earthquakes","San Jose Earthquakes","FALSE",74,"Ronald Cerritos","Braeden Cloutier","Eddie Lewis",0,0
"7/4/99","FC Dallas","Chicago Fire","FC Dallas","Chicago Fire","TRUE",15,"Ritchie Kotschau","","",0,0
"8/22/99","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",90,"Josh Wolff","Lubo?ç Kubí_k","",0,0
"6/12/99","LA Galaxy","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",47,"Josh Wolff","Ante Razov","",0,0
"3/20/99","San Jose Earthquakes","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",81,"Ante Razov","Lubo?ç Kubí_k","",0,0
"4/3/99","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",77,"Peter Nowak","C.J. Brown","",0,0
"7/4/99","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",35,"Ante Razov","Peter Nowak","",0,0
"10/10/99","Columbus Crew","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",75,"Tom Soehn","Peter Nowak","",0,0
"10/10/99","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",5,"Stern John","Mike Clark","Brian McBride",0,0
"9/5/99","New York Red Bulls","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",73,"Lubos Kubik","Paul Dougherty","Ante Razov",0,0
"3/27/99","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",61,"Josh Wolff","Chris Armas","Ante Razov",0,0
"8/22/99","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",43,"Chad Deering","Ariel Graziani","",0,0
"5/8/99","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",6,"Josh Wolff","Jerzy Podbro?_ny","Roman Kosecki",0,0
"7/4/99","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",4,"Ante Razov","C.J. Brown","",0,0
"9/11/99","LA Galaxy","Chicago Fire","LA Galaxy","LA Galaxy","FALSE",85,"Cobi Jones","Roy Myers","Clint Mathis",0,0
"5/29/99","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",80,"Roy Lassiter","Marco Etcheverry","Ben Olsen",0,0
"10/6/99","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",26,"Ante Razov","","",0,0
"6/12/99","LA Galaxy","Chicago Fire","LA Galaxy","LA Galaxy","FALSE",32,"Carlos Hermosillo","Roy Myers","Simon Elliott",0,0
"5/29/99","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",65,"Ben Olsen","Roy Lassiter","",0,0
"5/8/99","Tampa Bay Mutiny","Chicago Fire","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",57,"Jefferson Gottardi","Steve Ralston","Maurí_cio Ramos",0,0
"8/5/99","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",38,"Diego Gutierrez","Sam George","Lubo?ç Kubí_k",0,0
"4/3/99","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",54,"Ante Razov","","",0,0
"10/10/99","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",65,"Jeff Cunningham","Robert Warzycha","",0,0
"9/5/99","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",60,"Eduardo Hurtado","Petter Villegas","Mark Chung",0,0
"3/27/99","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",10,"Ante Razov","Jerzy Podbro?_ny","Jesse Marsch",0,0
"6/26/99","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",87,"Joey DiGiamarino","Marcus Hahnemann","",0,0
"3/20/99","San Jose Earthquakes","Chicago Fire","San Jose Earthquakes","San Jose Earthquakes","FALSE",32,"Jeff Baicher","John Doyle","Scott Bower",0,0
"9/26/99","San Jose Earthquakes","Chicago Fire","San Jose Earthquakes","San Jose Earthquakes","FALSE",85,"Ryan Tinsley","Rí_nald Cerritos","",0,0
"5/29/99","D.C. United","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",14,"Jerzy Podbrozny","Lubo?ç Kubí_k","",0,0
"3/27/99","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",69,"Ante Razov","Jerzy Podbro?_ny","",0,0
"8/22/99","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",55,"Richard Farrer","Chad Deering","Sergi Daniv",0,0
"8/5/99","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",61,"Mo Johnston","Brian Johnson","",0,0
"6/12/99","LA Galaxy","Chicago Fire","LA Galaxy","LA Galaxy","FALSE",45,"Simon Elliott","Mauricio Cienfuegos","",0,0
"8/5/99","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",43,"Ante Razov","Jerzy Podbro?_ny","Roman Kosecki",0,0
"8/22/99","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",49,"Josh Wolff","","",0,0
"9/5/99","New York Red Bulls","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",69,"Dema Kovalenko","Jerzy Podbro?_ny","",0,0
"8/26/00","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",88,"Hristo Stoitchkov","Josh Wolff","",0,0
"4/1/00","Columbus Crew","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",36,"Peter Nowak","Josh Wolff","Dema Kovalenko",0,0
"6/21/00","LA Galaxy","Chicago Fire","LA Galaxy","LA Galaxy","FALSE",89,"Greg Vanney","","",0,0
"6/21/00","LA Galaxy","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",75,"Josh Wolff","Ante Razov","Diego Gutií©rrez",0,0
"3/25/00","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",68,"Diego Gutierrez","","",0,0
"7/21/00","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",27,"Junior Agogo","Henry Zambrano","Anders Limpar",0,0
"6/10/00","Miami Fusion","Chicago Fire","Miami Fusion","Miami Fusion","FALSE",62,"Jim Rooney","Welton Melo","",0,0
"4/8/00","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",92,"Jaime Moreno","Ben Olsen","",0,0
"3/18/00","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",42,"Hristo Stoitchkov","Lubo?ç Kubí_k","",0,0
"7/4/00","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",45,"Andrew Lewis","Chris Armas","",0,0
"5/6/00","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",56,"Ante Razov","Jesse Marsch","Peter Nowak",0,0
"7/4/00","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",89,"Anders Limpar","Matt Okoh","Junior Agogo",0,0
"3/25/00","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",63,"Preki","","",0,0
"9/9/00","Columbus Crew","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",90,"Mike Sorber","C.J. Brown","Dema Kovalenko",0,0
"8/26/00","Tampa Bay Mutiny","Chicago Fire","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",38,"Mamadou Diallo","Ritchie Kotschau","Dominic Kinnear",0,0
"8/26/00","Tampa Bay Mutiny","Chicago Fire","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",45,"Steve Trittschuh","Eric Quill","",0,0
"7/21/00","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",35,"Carlos Bocanegra","Jesse Marsch","Diego Gutií©rrez",0,0
"4/22/00","New England Revolution","Chicago Fire","New England Revolution","New England Revolution","FALSE",68,"Ivan McKinley","Imad Baba","Maurí_cio Ramos",0,0
"9/9/00","Columbus Crew","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",26,"Ante Razov","Peter Nowak","",0,0
"3/25/00","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",90,"Dema Kovalenko","Evan Whitfield","Lubo?ç Kubí_k",0,0
"4/8/00","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",21,"John Maessner","","",0,0
"5/6/00","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",49,"Ante Razov","Evan Whitfield","",0,0
"5/27/00","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",34,"Steve Jolley","Mark Chung","",0,0
"8/16/00","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",25,"Aleksey Korol","íñscar Pareja","",0,0
"3/18/00","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",79,"Eric Dade","Jason Kreis","íñscar Pareja",0,0
"9/9/00","Columbus Crew","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",23,"Peter Nowak","DaMarcus Beasley","Hristo Stoichkov",0,0
"3/18/00","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",14,"Hristo Stoitchkov","Peter Nowak","Chris Armas",0,0
"9/9/00","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",34,"Mike Duhaney","Robert Warzycha","Brian West",0,0
"3/18/00","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",55,"Ariel Graziani","Eric Dade","Chad Deering",0,0
"8/16/00","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",67,"Aleksey Korol","Lazo Alavanja","Mark Santel",0,0
"3/25/00","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",28,"Chris Klein","Preki","",0,0
"8/26/00","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",73,"Peter Nowak","Evan Whitfield","Hristo Stoichkov",0,0
"5/27/00","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",4,"Mark Chung","Clint Mathis","Roy Myers",0,0
"5/27/00","New York Red Bulls","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",71,"Ante Razov","","",0,0
"3/25/00","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",45,"Ante Razov","Diego Gutií©rrez","",0,0
"8/26/00","Tampa Bay Mutiny","Chicago Fire","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",58,"Manny Lagos","Mamadou Diallo","Eric Quill",0,0
"5/27/00","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",76,"Adolfo Valencia","","",0,0
"8/16/00","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",82,"Oscar Pareja","Antonio Martí_nez","",0,0
"5/6/00","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",72,"Ante Razov","Evan Whitfield","Jesse Marsch",0,0
"3/18/00","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",28,"Jason Kreis","Chad Deering","",0,0
"3/25/00","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",42,"Chris Henderson","Kerry Zavagnin","Preki",0,0
"6/10/00","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",89,"Evan Whitfield","Jesse Marsch","Dema Kovalenko",0,0
"4/22/00","New England Revolution","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",59,"Dema Kovalenko","Lubo?ç Kubí_k","Chris Armas",0,0
"5/27/00","New York Red Bulls","Chicago Fire","New York Red Bulls","New York Red Bulls","FALSE",35,"Clint Mathis","Roy Myers","Adolfo Valencia",0,0
"4/8/00","D.C. United","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",85,"Jesse Marsch","Ante Razov","",0,0
"6/10/00","Miami Fusion","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",70,"Dema Kovalenko","Peter Nowak","",0,0
"6/10/00","Miami Fusion","Chicago Fire","Miami Fusion","Miami Fusion","FALSE",73,"Martin Machon","Diego Serna","Nelson Vargas",0,0
"9/9/00","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",88,"Brian McBride","Brian West","Jeff Cunningham",0,0
"4/8/00","D.C. United","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",46,"Hristo Stoitchkov","Lubo?ç Kubí_k","",0,1
"6/24/00","San Jose Earthquakes","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",31,"Dema Kovalenko","Diego Gutií©rrez","Ante Razov",0,0
"8/2/00","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",67,"Ante Razov","","",0,0
"8/26/00","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",7,"Ante Razov","Peter Nowak","",0,0
"6/10/00","Miami Fusion","Chicago Fire","Miami Fusion","Miami Fusion","FALSE",76,"Diego Serna","Martí_n Machí_n","Welton Melo",0,0
"6/24/00","San Jose Earthquakes","Chicago Fire","San Jose Earthquakes","San Jose Earthquakes","FALSE",92,"Ian Russell","Richard Mulrooney","",0,0
"4/8/00","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",93,"Ben Olsen","Marco Etcheverry","",0,0
"7/4/00","Colorado Rapids","Chicago Fire","Colorado Rapids","Colorado Rapids","FALSE",98,"Marcelo Balboa","Matt Okoh","",1,0
"3/25/00","Sporting Kansas City","Chicago Fire","Sporting Kansas City","Sporting Kansas City","FALSE",14,"Miklos Molnar","","",0,0
"4/1/00","Columbus Crew","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",5,"Ante Razov","Diego Gutií©rrez","Lubo?ç Kubí_k",0,0
"3/18/00","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",85,"Ariel Graziani","Eric Dade","",0,0
"6/10/00","Miami Fusion","Chicago Fire","Miami Fusion","Miami Fusion","FALSE",43,"Jay Heaps","Henry Gutí_errez","",0,0
"4/7/01","Columbus Crew","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",16,"John Wolyniec","Diego Gutií©rrez","Beasley",0,0
"8/1/01","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",65,"Jeff Cunningham","Mike Duhaney","",0,0
"4/21/01","FC Dallas","Chicago Fire","FC Dallas","FC Dallas","FALSE",82,"Bobby Rhine","Jason Kreis","Miles Joseph",0,0
"8/4/01","Colorado Rapids","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",40,"Jamar Beasley","Dema Kovalenko","Eric Wynalda",0,0
"7/7/01","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",83,"Eric Wynalda","Hristo Stoichkov","",0,0
"6/2/01","D.C. United","Chicago Fire","D.C. United","D.C. United","FALSE",7,"Jaime Moreno","Marco Etcheverry","Bobby Convey",0,0
"9/1/01","New York Red Bulls","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",92,"Dema Kovalenko","DaMarcus Beasley","Peter Nowak",0,0
"7/4/01","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",81,"Peter Nowak","David Vaudreuil","",0,0
"4/7/01","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",69,"Dante Washington","Todd Yeagley","Robert Warzycha",0,0
"4/28/01","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",11,"Josh Wolff","","",0,0
"8/1/01","Columbus Crew","Chicago Fire","Columbus Crew","Columbus Crew","FALSE",83,"Brian Maisonneuve","John Wilmar Pí©rez","Brian McBride",0,0
"7/7/01","Tampa Bay Mutiny","Chicago Fire","Tampa Bay Mutiny","Tampa Bay Mutiny","FALSE",93,"Eric Quill","Jair","Mamadou Diallo",0,0
"7/7/01","Tampa Bay Mutiny","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",79,"Hristo Stoitchkov","Eric Wynalda","Jesse Marsch",0,0
"5/12/01","New England Revolution","Chicago Fire","New England Revolution","New England Revolution","FALSE",91,"Matt Okoh","Johnny Torres","Wolde Harris",1,0
"7/4/01","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",7,"Sergi Daniv","Evan Whitfield","Peter Nowak",0,0
"7/4/01","Sporting Kansas City","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",88,"Hristo Stoitchkov","Jesse Marsch","Jamar Beasley",0,0
"4/21/01","FC Dallas","Chicago Fire","Chicago Fire","Chicago Fire","FALSE",81,"Jamar Beasley","DaMarcus Beasley","Evan Whitfield",0,0
